integrand,d,N,mc_mean_err,mc_std_err,mc_mean_time,qmc_err,qmc_time
A,5,128,4.512793e-03,4.648897e-03,1.040697e-05,4.150632e-03,5.071250e-04
A,5,256,2.962086e-03,1.705706e-03,1.231520e-05,1.938920e-03,1.595799e-05
A,5,512,2.305058e-03,2.095969e-03,1.889443e-05,7.691866e-04,1.658300e-05
A,5,1024,2.177792e-03,1.702760e-03,3.346670e-05,3.357074e-04,2.158301e-05
A,5,2048,1.046830e-03,9.769068e-04,6.222090e-05,1.706226e-04,3.320801e-05
A,5,4096,9.630203e-04,8.793156e-04,1.190932e-04,8.331173e-05,5.695800e-05
A,5,8192,6.997821e-04,4.899261e-04,2.348945e-04,3.695750e-05,1.051250e-04
A,5,16384,4.544654e-04,3.370415e-04,4.627916e-04,1.738877e-05,2.252080e-04
A,5,32768,3.457215e-04,2.515119e-04,1.008200e-03,8.900128e-06,4.815420e-04
A,10,128,8.042131e-04,5.621866e-04,1.050557e-05,6.711801e-03,1.254100e-05
A,10,256,5.416000e-04,4.015137e-04,1.655007e-05,3.231252e-03,1.312500e-05
A,10,512,3.411622e-04,2.278376e-04,2.966813e-05,1.441714e-03,2.516700e-05
A,10,1024,2.807982e-04,1.976888e-04,5.394460e-05,6.823919e-04,2.704201e-05
A,10,2048,1.549746e-04,1.226418e-04,1.028985e-04,3.268177e-04,6.774999e-05
A,10,4096,1.595222e-04,1.524282e-04,2.024917e-04,1.539715e-04,1.342920e-04
A,10,8192,1.097525e-04,7.501068e-05,4.115918e-04,6.371977e-05,2.589590e-04
A,10,16384,7.821055e-05,5.301309e-05,7.984459e-04,2.793942e-05,5.041250e-04
A,10,32768,5.729243e-05,4.293978e-05,1.673108e-03,1.392379e-05,9.295840e-04
A,15,128,1.451099e-04,1.161764e-04,1.298760e-05,7.633964e-03,1.329101e-05
A,15,256,7.356329e-05,5.847106e-05,2.170970e-05,3.808780e-03,1.604200e-05
A,15,512,5.877680e-05,4.258969e-05,3.958747e-05,1.891926e-03,1.795799e-05
